stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
05_2_S11,"Bến D29 Phố Phạm Văn Bạch, Phường Cầu Giấy",,21.026699,105.787825,,
05_2_S12,Bến 226 Phố Trung Kính,,21.022333,105.790509,,
05_2_S13,Bến 102 Phố Trung Kính,,21.016316,105.794175,,
05_2_S14,Bến Ngách 1 Ngõ 125 Trung Kính,,21.013766,105.794308,,
05_2_S15,Bến Phố Nguyễn Chánh,,21.010933,105.793142,,
05_2_S16,Bến Phường Yên Hòa,,21.006656,105.796721,,
05_2_S17,"Bến Phố Hoàng Minh Giám, Phường Thanh Xuân",,21.003486,105.799278,,
05_2_S18,Bến 204 Đường Nguyễn Tuân,,21.000417,105.801609,,
05_2_S19,"Bến 82 Đường Nguyễn Tuân, Phường Thanh Xuân",,20.996617,105.804592,,
05_2_S20,Bến Đường Nguyễn Trãi,,20.993834,105.805641,,
05_2_S21,Bến Đường Nguyễn Trãi,,20.995634,105.808925,,
05_2_S22,Bến Hầm chui Thanh Xuân,,20.993600,105.806075,,
05_2_S23,"Bến Đường Khương Đình, Phường Khương Đình",,20.996317,105.813741,,
05_2_S24,"Bến 232 Đường Khương Đình, Phường Khương Đình",,20.992184,105.813375,,
05_2_S25,"Bến Ngõ 34 Đường Kim Giang, Phường Khương Đình",,20.984851,105.814158,,
05_2_S26,Bến 204 Đường Kim Giang,,20.979834,105.819508,,
05_2_S27,"Bến 282 Đường Kim Giang, Phường Định Công",,20.978251,105.823091,,
05_2_S28,"Bến 442 Đường Kim Giang, Phường Định Công",,20.972668,105.824391,,
05_2_S29,Bến Đường Nghiêm Xuân Yêm,,20.970368,105.825924,,
05_2_S30,Bến Phố Nguyễn Phan Chánh,,20.965113,105.826138,,
05_2_S31,Bến 7B Phố Nguyễn Duy Trinh,,20.963833,105.830239,,
